"Year","TotalPopulation","GrowthRate","Density","TotalPopulationRank","DensityRank"
"2023","83774.5350","0.0016","240.3447","19","63"
"2024","83636.1730","0.0003","239.9477","19","63"
"2025","83515.0250","-0.0006","239.6001","19","63"
"2030","83135.6440","-0.0009","238.5117","19","65"
"2035","82650.0820","-0.0012","237.1187","20","68"
"2040","82003.6210","-0.0016","235.2640","20","70"
"2045","81148.0680","-0.0021","232.8095","22","70"
"2050","80103.9780","-0.0026","229.8140","23","70"
"2055","78999.4110","-0.0028","226.6451","24","73"
"2060","77961.6770","-0.0026","223.6679","28","73"
"2065","77115.6300","-0.0022","221.2406","28","74"
"2070","76466.6160","-0.0017","219.3786","28","75"
"2075","75914.1340","-0.0014","217.7936","31","77"
"2080","75401.6620","-0.0014","216.3233","33","75"
"2085","75000.6460","-0.0011","215.1728","33","75"
"2090","74769.6690","-0.0006","214.5102","36","75"
"2095","74702.8290","-0.0002","214.3184","37","73"